,Iteration,ScenarioSystemID,InstallDate,InstallNumber,ScenarioID,SystemID,Cost,Timing,SystemComponentID,ComponentID,UsageBaselineYear,Config_Name (from Config_link),Calculation,System_Name (from _SystemID),UsageAnnualMultiplier,Usage,Year,TotalUsageY
107,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,257,86,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,5953.0,2030,0
108,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,257,86,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,5953.0,2031,0
109,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,257,86,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,5953.0,2032,0
110,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,257,86,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,5953.0,2033,0
111,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,257,86,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,5953.0,2034,0
112,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,257,86,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,5953.0,2035,0
113,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,257,86,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,5953.0,2036,0
114,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,257,86,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,5953.0,2037,0
115,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,257,86,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,5953.0,2038,0
116,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,257,86,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,5953.0,2039,0
117,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,257,86,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,5953.0,2040,0
118,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,257,86,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,5953.0,2041,0
119,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,257,86,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,5953.0,2042,0
120,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,257,86,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,5953.0,2043,0
121,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,257,86,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,5953.0,2044,0
122,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,257,86,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,5953.0,2045,0
123,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,257,86,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,5953.0,2046,0
124,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,257,86,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,5953.0,2047,0
125,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,257,86,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,5953.0,2048,0
126,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,257,86,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,5953.0,2049,0
127,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,257,86,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,5953.0,2050,0
128,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,257,86,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,5953.0,2051,0
129,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,257,86,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,5953.0,2052,0
